City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8061,-68.3185,35.29,80,40,1.14,AR,1659622809
Asunción,-25.28,-57.6344,68.14,77,75,12.66,PY,1659622810
Broome,-17.9567,122.224,64.29,88,9,3.44,AU,1659622811
Georgetown,6.8137,-58.1624,79.09,100,75,2.3,GY,1659622811
Bredasdorp,-34.5331,20.0428,65.79,52,65,4.27,ZA,1659622812
Boroko,-9.4743,147.16,77.95,89,20,2.3,PG,1659622813
Cockburn Town,21.4608,-71.14,82.02,76,6,18.41,TC,1659622813
Barrow,71.2906,-156.7886,48.34,74,100,11.18,US,1659622814
Bluff,-46.6014,168.3399,57.92,79,100,15.37,NZ,1659622815
Mugumu,-1.8336,34.6607,76.91,37,91,1.28,TZ,1659622816
Cornwall,46.2239,-63.2572,76.24,68,75,11.5,CA,1659622816
Tegul'det,57.3064,88.1672,52.77,90,97,2.89,RU,1659622817
Puerto Ayora,-0.7472,-90.3134,72.21,78,98,1.99,EC,1659622817
Hibbing,47.4272,-92.9377,64.56,77,0,3.44,US,1659622683
Williamsburg,37.2104,-76.7739,87.44,83,0,3.44,US,1659622819
Busselton,-33.6445,115.3489,52.03,74,100,7.74,AU,1659622819
Isangel,-19.5411,169.2811,73.92,89,7,5.37,VU,1659622820
Maniitsoq,65.4175,-52.8968,43.11,93,100,31.43,GL,1659622820
Los Llanos de Aridane,28.6593,-17.9152,75.13,76,40,16.11,ES,1659622821
Saint-Leu,-21.1678,55.2882,71.71,79,71,4.99,RE,1659622822
Atuona,-9.7793,-139.0619,67.39,74,3,20.04,PF,1659622822
Punta Arenas,-53.1626,-70.9078,37.69,93,75,4.61,CL,1659622823
Kamaishi,39.2757,141.8858,67.64,90,100,4.56,JP,1659622824
Thompson,55.7435,-97.8558,57.36,62,20,8.05,CA,1659622741
Pangnirtung,66.148,-65.7173,53.85,66,40,9.22,CA,1659622825
Vaini,-21.1926,-175.1773,75.49,88,40,6.91,TO,1659622825
Chokurdakh,70.6194,147.9024,45.23,70,100,12.86,RU,1659622826
Qaanaaq,77.4686,-69.2223,42.3,63,10,3.62,GL,1659622826
Castro,45.803,10.0671,97.2,49,14,7.0,IT,1659622827
Krasnyy Bor,59.7035,30.7861,83.88,31,60,7.76,RU,1659622828
Vila Velha,-20.3297,-40.292,82.35,63,20,13.8,BR,1659622828
Ribeira Grande Municipality,37.8225,-25.5195,77.34,83,40,11.5,PT,1659622829
Coburg,50.2581,10.9645,98.96,27,50,1.99,DE,1659622830
St. George's,12.0535,-61.7518,83.28,79,20,23.02,GD,1659622830
Sovetsk,55.081,21.8883,81.88,46,3,9.53,RU,1659622831
Musoma,-1.4998,33.8083,75.74,58,26,9.22,TZ,1659622831
Mahébourg,-20.4111,57.7061,71.98,73,40,11.5,MU,1659622832
Port Alfred,-33.5982,26.8915,62.06,85,67,5.01,ZA,1659622833
Balclutha,-46.2817,169.8464,44.33,87,100,5.26,NZ,1659622833
New Norfolk,-42.7802,147.0615,47.95,57,100,2.71,AU,1659622834
East London,-33.0192,27.8999,66.54,69,75,12.01,ZA,1659622835
Altay,47.8258,88.1292,72.32,38,29,6.02,CN,1659622835
Tessalit,20.202,1.0125,106.09,10,0,9.51,ML,1659622836
Rikitea,-23.123,-134.968,68.95,81,100,17.02,PF,1659622837
Saldanha,-32.9978,17.9456,61.07,66,50,10.87,ZA,1659622837
Dingle,52.1408,-10.2689,59.68,65,8,14.52,IE,1659622838
Tasiilaq,65.6153,-37.6378,41.5,78,100,2.8,GL,1659622838
Limanancong,11.0055,119.3061,82.58,77,100,6.04,PH,1659622839
Kashechewan,52.9244,-82.427,62.6,59,0,10.36,CA,1659622840
Portland,45.5203,-122.6742,61.61,82,80,5.99,US,1659622450
Asău,46.4389,26.4008,79.68,53,89,5.59,RO,1659622841
Bethel,60.7922,-161.7558,48.54,95,100,14.97,US,1659622841
Porbandar,21.6409,69.611,84.33,72,97,9.93,IN,1659622842
Fairbanks,64.8378,-147.7167,48.16,90,0,4.61,US,1659622843
Albany,42.6512,-73.755,89.26,62,20,9.22,US,1659622843
Yatou,37.1649,122.4823,78.69,96,39,8.28,CN,1659622844
Rørvik,64.8616,11.2379,55.38,87,75,4.61,NO,1659622844
Saskylakh,71.965,114.0939,53.83,62,93,5.77,RU,1659622845
Tual,-5.6443,132.7417,80.37,86,100,10.78,ID,1659622846
Melville,50.9307,-102.8073,63.68,70,6,13.04,CA,1659622846
Kantunilkín,20.8581,-87.6685,79.43,89,100,3.36,MX,1659622847
Bonavista,48.6542,-53.1103,61.92,87,77,4.68,CA,1659622847
Entuziastov,71.4404,136.1306,39.45,87,64,6.98,RU,1659622848
Gore,-46.1927,168.8643,57.47,93,100,5.28,NZ,1659622849
Shingū,33.7241,135.993,79.93,82,62,4.07,JP,1659622849
São Sebastião,-23.8028,-45.4071,79.27,59,67,3.89,BR,1659622850
Novska,45.3809,17.0263,94.69,20,0,3.89,HR,1659622850
Dikson,73.5084,80.5124,48.97,99,100,13.22,RU,1659622851
Coxim,-18.5049,-54.745,87.21,23,100,4.59,BR,1659622852
Kopervik,59.2836,5.3067,58.98,87,75,13.8,NO,1659622852
Turukhansk,65.7934,87.9589,62.26,57,6,3.83,RU,1659622853
Kokoda,-8.8784,147.7365,72.84,94,68,0.58,PG,1659622854
Kumul,42.8174,93.5142,93.13,14,87,8.39,CN,1659622854
Bukachacha,52.9884,116.9117,58.68,91,38,5.91,RU,1659622855
Taoudenni,22.6762,-3.9805,109.08,17,6,4.47,ML,1659622855
Honiton,50.7852,-3.1883,72.91,49,0,11.5,GB,1659622856
Carthage,40.3278,-91.2001,76.01,90,54,0.56,US,1659622857
Santa Vitória do Palmar,-33.5196,-53.3693,53.98,94,100,12.62,BR,1659622857
Port Elizabeth Airport,-33.9617,25.6208,64.51,59,20,13.0,ZA,1659622858
Hobart,-42.8825,147.3281,48.02,77,100,2.3,AU,1659622731
Tablado,43.1118,-3.907,69.49,61,54,8.86,ES,1659622859
Sisimiut,66.9372,-53.6665,43.32,91,100,4.38,GL,1659622860
Chuí,-33.6938,-53.4561,54.27,95,100,12.77,BR,1659622860
Pitimbu,-7.4728,-34.8112,79.16,72,41,15.52,BR,1659622861
Guerrero Negro,27.971,-114.0364,69.76,84,2,12.66,MX,1659622862
Kokstad,-30.8249,28.9218,64.04,38,98,8.81,ZA,1659622862
Ancud,-41.8682,-73.8287,42.6,77,100,2.91,CL,1659622863
Fengyi,31.6835,103.8502,70.57,95,96,1.28,CN,1659622863
Nsoko,-27.0741,31.929,82.98,31,81,5.82,SZ,1659622864
Río Cauto,20.5592,-76.9165,82.6,66,69,7.16,CU,1659622865
Dezful,32.378,48.4032,120.96,7,0,12.3,IR,1659622865
Mathis,27.9695,-97.7732,87.1,62,60,15.21,US,1659622866
Setermoen,68.8615,18.3464,61.95,77,100,3.0,NO,1659622866
Ciutat Vella,41.3829,2.1774,99.39,59,0,12.66,ES,1659622867
Port Hardy,50.7244,-127.4976,55.38,88,75,4.61,CA,1659622868
Quatre Cocos,-20.2095,57.7706,71.85,70,17,15.57,MU,1659622868
Wuwei,37.9289,102.636,76.26,63,0,5.19,CN,1659622869
Katsuura,35.1522,140.3207,76.01,93,100,11.52,JP,1659622869
Hilo,19.7074,-155.0816,76.19,82,0,4.61,US,1659622870
Alta Floresta,-9.8715,-56.084,91.31,35,0,6.91,BR,1659622871
Avarua,-21.2075,-159.7708,73.38,73,75,14.97,CK,1659622871
Nybyen,78.0654,14.2172,51.4,89,100,0.29,SJ,1659622872
Hermanus,-34.4175,19.2361,65.84,67,46,17.29,ZA,1659622872
Yefremov,53.1793,37.7767,79.21,58,100,8.19,RU,1659622873
Bandar-e Anzali,37.4716,49.4686,87.94,57,0,6.67,IR,1659622874
Lower Shabeelle,1.4923,44.1066,80.11,60,89,17.47,SO,1659622875
Svartnes,70.3308,30.9618,63.28,82,0,8.05,NO,1659622876
Reine,67.889,13.0167,57.27,77,100,21.3,NO,1659622876
Kurchum,48.5656,83.6526,76.59,36,37,9.15,KZ,1659622877
Huai'an,33.538,119.1325,86.27,73,83,4.92,CN,1659622877
Kavī Mehdīyeh,31.5997,55.3967,100.38,10,0,16.6,IR,1659622878
Erechim,-27.6351,-52.2739,70.7,56,96,11.52,BR,1659622879
Mashhad,36.2975,59.6059,89.74,29,20,16.11,IR,1659622879
Paracuru,-3.4144,-39.03,81.01,58,25,11.81,BR,1659622880
Cooma,-36.2356,149.1264,44.28,81,75,18.41,AU,1659622880
Longyearbyen,78.2232,15.6464,52.07,76,75,8.05,SJ,1659622881
Upernavik,72.7847,-56.147,43.92,66,100,3.27,GL,1659622882
Norman Wells,65.2824,-126.8327,57.24,88,40,0.0,CA,1659622882
Butaritari,2.9205,172.9189,81.57,76,100,11.63,KI,1659622883
Lajoskomárom,46.8418,18.3372,88.48,16,0,3.8,HU,1659622883
Pevek,69.7028,170.2747,34.57,97,100,6.11,RU,1659622884
Lebu,-37.61,-73.6559,49.19,79,100,3.65,CL,1659622885
Husavik,66.0433,-17.341,43.9,94,100,14.43,IS,1659622885
Tourlaville,49.6401,-1.5707,67.55,72,85,13.8,FR,1659622886
Pendolo,-1.9758,121.0572,71.37,95,57,0.56,ID,1659622886
Bambous Virieux,-20.3472,57.7647,72.16,73,40,11.5,MU,1659622887
Esperance,-33.8582,121.8932,49.71,75,58,22.84,AU,1659622888
Kavieng,-2.5735,150.7952,82.35,76,89,13.87,PG,1659622888
Arraial do Cabo,-22.9663,-42.0244,76.98,73,0,16.11,BR,1659622889
Mahibadhoo,3.7572,72.9696,81.68,78,100,18.66,MV,1659622890
Urochishche Kelyuke,68.8929,-179.4131,35.02,96,100,21.05,RU,1659622890
Tiksi,71.6366,128.8685,44.29,73,4,7.36,RU,1659622891
Yellowknife,62.4541,-114.3774,57.38,58,75,4.61,CA,1659622891
Saint-Philippe,45.3584,-73.479,76.15,77,100,10.36,CA,1659622892
Ostrovnoy,68.0544,39.5129,66.18,67,99,23.82,RU,1659622893
Mildura,-34.1847,142.1625,50.07,64,2,11.74,AU,1659622838
Talparo,10.443,-61.2613,79.79,83,40,3.44,TT,1659622894
Chama,-11.2164,33.1586,81.88,29,16,11.86,ZM,1659622894
Isthmia,37.9053,23.0114,89.01,28,0,19.08,GR,1659622895
Marrakesh,31.6258,-7.9892,103.95,18,20,5.75,MA,1659622896
Severo-Kuril'sk,50.6683,156.1154,51.69,91,25,8.3,RU,1659622896
Cabo San Lucas,22.8939,-109.9201,87.31,68,5,7.83,MX,1659622897
Leh,34.1642,77.5848,71.37,26,36,8.37,IN,1659622897
Necochea,-38.5545,-58.7393,48.92,73,100,5.66,AR,1659622898
Camacha,32.6794,-16.8449,71.6,68,20,23.02,PT,1659622899
Roald,62.5838,6.1242,59.16,88,75,8.05,NO,1659622900
Bumba,2.1837,22.4665,85.21,56,70,2.68,CD,1659622900
Hangu,47.0657,26.0406,78.93,53,88,5.97,RO,1659622901
Tarakan,3.3416,117.5986,82.15,74,98,8.21,ID,1659622901
Bhopal,23.2585,77.402,76.98,94,75,2.3,IN,1659622902
Chernyshevskiy,63.0156,112.4642,52.61,89,100,3.24,RU,1659622903
Nhulunbuy,-12.1804,136.776,78.94,83,100,5.75,AU,1659622903
Kuala Terengganu,5.3296,103.1383,80.53,94,40,2.3,MY,1659622904
Muquiçaba,-20.6719,-40.4985,78.93,54,0,10.89,BR,1659622905
Ulladulla,-35.3622,150.4752,60.33,82,67,7.63,AU,1659622905
Marsella,4.902,-75.7013,68.76,88,40,4.61,CO,1659622906
Petropavlovsk-Kamchatskiy,53.02,158.6471,51.91,86,95,9.28,RU,1659622906
Krasnozerskoye,54.1291,79.2367,66.15,50,0,8.68,RU,1659622907
Nuevo Laredo,27.4762,-99.5186,82.67,69,0,20.71,MX,1659622908
Ainaro,-8.9266,125.4092,57.31,92,70,1.68,TL,1659622908
Cape Town,-33.93,18.42,61.93,70,75,14.97,ZA,1659622888
Kaspiysk,42.8881,47.6425,87.98,33,0,7.0,RU,1659622909
Belconnen,-35.1702,149.0667,51.73,93,100,18.41,AU,1659622910
Gereshk,31.8209,64.57,102.02,8,0,8.88,AF,1659622911
Ulaanbaatar Hot,47.9491,107.0223,58.12,77,100,3.18,MN,1659622911
Komsomol'skiy,43.9827,46.695,93.38,20,0,16.35,RU,1659622912
Port Blair,11.6645,92.739,78.22,89,100,5.75,IN,1659622912
Ulaangom,49.98,92.0689,69.91,51,59,7.23,MN,1659622913
Haines Junction,60.7527,-137.51,49.95,93,99,0.0,CA,1659622914
St John's,17.6405,-61.8255,81.25,77,100,22.37,AG,1659622914
Marks,51.707,46.7484,83.34,38,67,10.58,RU,1659622915
Tromsø,69.6516,18.9558,62.51,67,75,11.5,NO,1659622915
Gorgan,36.8393,54.4321,89.56,52,20,11.5,IR,1659622916
Seoul,37.5667,126.9783,80.04,94,40,4.61,KR,1659622917
Tahara,34.6391,137.1832,78.64,73,69,6.78,JP,1659622917
St Louis,38.6417,-90.2308,76.05,96,75,1.01,US,1659622918
Port-Gentil,-0.7149,8.7797,82.38,65,20,16.11,GA,1659622918
Narsaq,60.9127,-46.0453,50.25,94,100,3.09,GL,1659622919
Verkhnyaya Toyma,62.2354,45.0008,78.62,44,77,5.14,RU,1659622920
Nogliki,51.7954,143.1365,55.89,96,100,4.99,RU,1659622920
Kazachinskoye,57.6944,93.281,50.34,95,97,6.71,RU,1659622921
Torbat-e Jām,35.2433,60.6263,87.21,14,0,22.3,IR,1659622922
Pelabuhanratu,-6.9882,106.5504,77.74,89,41,3.83,ID,1659622923
Biltine,14.5252,20.9287,88.81,46,99,2.13,TD,1659622923
Grindavik,63.8442,-22.4317,53.92,58,20,14.97,IS,1659622924
Tuktoyaktuk,69.4465,-133.034,51.8,93,75,4.61,CA,1659622925
San Cristobal,7.7757,-72.2214,75.07,62,100,5.5,VE,1659622925
Buraidah,26.3317,43.9717,113.43,30,75,13.8,SA,1659622926
Erenhot,43.6408,111.9435,81.18,33,0,9.51,CN,1659622927
São João da Barra,-21.6349,-41.0487,78.91,70,9,9.73,BR,1659622927
Anlu,31.1655,112.585,85.17,74,0,3.98,CN,1659622928
Sitka,57.0525,-135.3376,57.02,88,100,5.75,US,1659622928
Kutum,14.2108,24.6496,85.03,40,100,11.27,SD,1659622929
Englehart,47.8256,-79.8734,62.46,88,100,9.22,CA,1659622930
Wasta,44.0694,-102.4459,82.15,46,2,8.99,US,1659622930
Miguel Ahumada,30.6128,-106.5124,75.24,60,1,3.91,MX,1659622931
Niono,14.2515,-5.9784,92.07,42,100,5.32,ML,1659622932
Kapaa,22.0747,-159.3192,77.32,88,20,8.05,US,1659622932
Port-Cartier,50.0187,-66.8757,64.83,93,100,5.64,CA,1659622933
Departamento del Vichada,4.4471,-69.7976,71.74,99,100,4.03,CO,1659622933
Khatanga,71.9819,102.4715,58.78,62,100,5.08,RU,1659622934
Dhidhdhoo,6.889,73.1134,79.68,79,100,26.19,MV,1659622935
Bilyarsk,54.8464,50.8055,76.06,59,66,2.59,RU,1659622935
Gialo,29.0331,21.5482,98.58,17,0,14.32,LY,1659622936
Olehsari,-8.2106,114.3178,69.84,86,23,2.89,ID,1659622936
Madifushi,1.7959,73.3876,82.08,75,100,15.28,MV,1659622937
Kruisfontein,-34.012,24.7433,61.9,66,85,8.12,ZA,1659622938
Lubumbashi,-11.7055,27.4726,80.92,25,1,7.34,CD,1659622938
Christchurch,-43.531,172.6366,48.43,77,0,5.75,NZ,1659622939
Taunoa,-17.7594,-149.3769,73.08,80,88,28.27,PF,1659622939
Choma,-17.0237,26.4899,80.08,20,0,9.26,ZM,1659622940
Ṭikāpur,28.4499,81.2433,85.01,78,100,3.11,NP,1659622941
Touros,-5.1999,-35.4595,80.91,75,16,14.34,BR,1659622941
Pacific Grove,36.6242,-121.9237,61.18,94,100,3.0,US,1659622521
Al Khālidīyah,24.6389,46.716,109.78,16,76,11.77,SA,1659622942
Leknes,68.1301,13.8492,57.15,72,75,17.27,NO,1659622943
Yevpatoriya,45.4621,33.5722,84.47,42,77,8.08,UA,1659622944
Montoro,38.0216,-4.3827,101.82,15,0,8.93,ES,1659622944
Bilibino,68.055,166.4449,46.44,92,100,2.59,RU,1659622945
Anadyr,64.7317,177.5061,51.67,87,0,8.95,RU,1659622946
Cidreira,-30.1657,-50.2183,63.48,90,100,8.1,BR,1659622946
Ibrā’,22.6896,58.547,101.43,26,18,12.37,OM,1659622947
Atar,20.5182,-13.0544,98.15,28,3,10.49,MR,1659622947
Örnsköldsvik,63.2889,18.716,72.73,64,100,12.66,SE,1659622948
Colchester,51.8897,0.8995,79.11,50,100,9.28,GB,1659622949
Salmās,37.9899,44.7712,87.03,21,0,11.25,IR,1659622949
Bandarbeyla,9.4953,50.8128,80.01,70,66,33.96,SO,1659622950
Mabaruma,8.2037,-59.7849,75.2,97,100,4.7,GY,1659622951
Zyryanka,65.7336,150.8933,50.13,95,100,9.48,RU,1659622951
Dunedin,-45.8741,170.5036,49.55,75,100,7.76,NZ,1659622952
Ilulissat,69.2197,-51.0986,48.49,93,75,13.8,GL,1659622952
Temaiku Village,0.2133,173.4323,80.22,81,100,10.45,KI,1659622953
Cap Malheureux,-19.986,57.6196,72.07,68,2,7.0,MU,1659622954
Ponta do Sol,32.6811,-17.1041,80.4,67,0,6.06,PT,1659622954
Safotu,-13.4518,-172.3319,79.45,82,58,22.17,WS,1659622955
Wilmington,39.7459,-75.5466,90.28,68,0,6.91,US,1659622955
Port Lincoln,-34.7284,135.8563,53.65,82,55,24.05,AU,1659622956
Padang,-0.9248,100.3633,77.04,88,100,2.3,ID,1659622957
Funafuti,-7.4769,178.6808,80.8,79,18,17.54,TV,1659622957
Pisco,-13.71,-76.203,62.49,72,75,3.44,PE,1659622958
Il’inskiy,55.6181,38.1003,86.45,37,0,7.0,RU,1659622959
Zaural'skiy,54.8657,61.175,71.37,62,100,4.7,RU,1659622959
Fortuna,40.5974,-124.156,58.08,95,100,1.99,US,1659622960
Nele,-10.7242,165.7978,79.45,82,3,10.67,SB,1659622960
Baoshan,31.4016,121.4453,88.07,88,0,12.55,CN,1659622961
Moerai,-22.4514,-151.3422,71.4,75,96,27.96,PF,1659622962
Kambaxoi,28.2734,88.5115,49.05,63,66,8.3,CN,1659622962
Río Gallegos,-51.6461,-69.2632,37.47,100,100,12.66,AR,1659622963
Olinda,-7.9986,-34.846,80.62,78,40,9.22,BR,1659622963
Koeru vald,58.9396,25.9708,82.08,40,56,9.33,EE,1659622964
Souillac,44.898,1.4694,100.81,22,5,5.88,FR,1659622965
Knysna,-34.0357,23.0485,63.23,66,25,6.98,ZA,1659622965
Iqaluit,63.7494,-68.5219,46.35,53,75,10.36,CA,1659622966
Bosilegrad,42.4997,22.4733,83.25,29,54,8.03,RS,1659622966
Nouadhibou,20.9127,-17.0503,78.73,73,75,9.22,MR,1659622967
Barabai,-2.6213,115.2268,74.91,89,31,2.17,ID,1659622968
Jiblah,13.9225,44.1458,70.03,64,90,3.98,YE,1659622968
Sept-Îles,50.211,-66.3791,64.74,82,100,6.91,CA,1659622969
Ash Shawati,16.5605,43.89,66.07,84,98,4.47,YE,1659622970
Cayenne,4.9371,-52.3258,87.82,11,75,6.91,GF,1659622970
Gandorhun,7.6244,-11.8332,78.58,85,100,5.93,SL,1659622971
Sayyan,15.1718,44.3254,68.2,50,89,2.8,YE,1659622971
Nanortalik,60.14,-45.2429,44.33,96,100,3.83,GL,1659622972
Mahrīz,31.5842,54.4446,99.3,12,4,5.59,IR,1659622973
Douz,33.4571,9.0249,97.54,27,3,18.37,TN,1659622973
Makakilo,21.3469,-158.0858,72.99,78,0,4.61,US,1659622974
Port Arthur,29.8989,-93.9289,87.82,79,0,4.61,US,1659622975
Falefa,-13.9974,-171.4289,79.0,82,83,23.94,WS,1659622975
Klaksvík,62.2266,-6.5853,51.04,78,75,18.19,FO,1659622976
Xai-Xai,-25.0445,33.6407,79.84,46,4,5.3,MZ,1659622976
Mitsamiouli,-11.3889,43.293,79.07,65,20,8.05,KM,1659622977
Hay River,60.8156,-115.7866,53.62,66,40,6.91,CA,1659622978
Esterhazy,50.6536,-102.0763,63.48,70,4,14.34,CA,1659622978
Linqiong,30.4145,103.4654,84.04,84,99,2.64,CN,1659622979
